uttid,wav_path,transcription,length_seconds
BAC009S0166W0478,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0166W0478.wav,"{'uttid': 'BAC009S0166W0478', 'text': '暂停收取门票两个月', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0166W0478.wav', 'rtf': '0.0071'}",2.738
BAC009S0103W0126,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0103W0126.wav,"{'uttid': 'BAC009S0103W0126', 'text': '虽然统计局数据显示', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0103W0126.wav', 'rtf': '0.0071'}",4.135
BAC009S0146W0122,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0146W0122.wav,"{'uttid': 'BAC009S0146W0122', 'text': '部分城市去化压力尚存', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0146W0122.wav', 'rtf': '0.0071'}",3.897
BAC009S0211W0242,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0211W0242.wav,"{'uttid': 'BAC009S0211W0242', 'text': '各家的操作模式如何', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0211W0242.wav', 'rtf': '0.0071'}",3.216
BAC009S0109W0134,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0109W0134.wav,"{'uttid': 'BAC009S0109W0134', 'text': '逐步降低企业融资成本', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0109W0134.wav', 'rtf': '0.0071'}",3.11
BAC009S0239W0134,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0239W0134.wav,"{'uttid': 'BAC009S0239W0134', 'text': '部分资金压力大的房企', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0239W0134.wav', 'rtf': '0.0071'}",3.451
BAC009S0214W0191,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0214W0191.wav,"{'uttid': 'BAC009S0214W0191', 'text': '至于何时启动中欧谈判', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0214W0191.wav', 'rtf': '0.0071'}",3.289
BAC009S0129W0403,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0129W0403.wav,"{'uttid': 'BAC009S0129W0403', 'text': '始终会保持一定的压力', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0129W0403.wav', 'rtf': '0.0071'}",2.705
BAC009S0251W0231,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0251W0231.wav,"{'uttid': 'BAC009S0251W0231', 'text': '调整为管理人办法', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0251W0231.wav', 'rtf': '0.0071'}",2.971
BAC009S0522W0196,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0522W0196.wav,"{'uttid': 'BAC009S0522W0196', 'text': '会根据具体情况作调整', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0522W0196.wav', 'rtf': '0.0071'}",3.711
BAC009S0146W0188,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0146W0188.wav,"{'uttid': 'BAC009S0146W0188', 'text': '并且今后还要现场检查', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0146W0188.wav', 'rtf': '0.0071'}",3.296
BAC009S0105W0225,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0105W0225.wav,"{'uttid': 'BAC009S0105W0225', 'text': '实际控制人为外资的', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0105W0225.wav', 'rtf': '0.0071'}",3.651
BAC009S0186W0436,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0186W0436.wav,"{'uttid': 'BAC009S0186W0436', 'text': '八百米一千米耐力测试', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0186W0436.wav', 'rtf': '0.0071'}",3.261
BAC009S0184W0398,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0184W0398.wav,"{'uttid': 'BAC009S0184W0398', 'text': '但好在还是控制住了', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0184W0398.wav', 'rtf': '0.0071'}",3.346
BAC009S0207W0285,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0207W0285.wav,"{'uttid': 'BAC009S0207W0285', 'text': '触屏部分需要维护修理', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0207W0285.wav', 'rtf': '0.0071'}",3.851
