uttid,reference,transcription,CER
enhanced_001,启动主机控制系统。,启动紧急避险,0.75
enhanced_002,停止流水线自动化。,停止流水线自动化,0.0
enhanced_003,重启设备电子模块。,重启设备电阻不断,0.375
enhanced_004,检查生产设备温度。,检查生产设备温度,0.0
enhanced_016,调整液压系统压力。,警察局长您请动,1.0
enhanced_006,减少输送带转速级。,减少新生代传送机,0.75
enhanced_007,增加风机电机功率。,增加攻击并且欧陆,0.75
enhanced_008,更换数控机床刀具。,更换数据集成道具,0.5
enhanced_005,检查实时温度传感器。,有种你拿速度让开,0.8888888888888888
enhanced_010,校准高精度测量仪。,叫他抄近路测量一,0.75
enhanced_011,添加润滑油至轴承。,添加润滑油制作成,0.375
enhanced_012,清理生产车间操作台。,今日新款超酷卡组,1.0
enhanced_013,紧急按下设备停止键。,请即刻上市停止交易,0.8888888888888888
enhanced_014,复位自动化输送装置。,输入自动化输送装置,0.2222222222222222
enhanced_015,启动备用电源模块。,启动愤怒猎人模块,0.5
enhanced_035,检查安全阀门运行状况。,检查一眼是否有异物,0.8
enhanced_017,更换已损坏设备零件。,更换一次快设备零件,0.3333333333333333
enhanced_018,检查供电电路电压值。,检查低电电路电压值,0.1111111111111111
enhanced_038,报告异常生产状态信息。,报告上海组织部,0.8
enhanced_020,确认当前工单执行情况。,确认当前应该举行情况,0.3
enhanced_021,开始装配流水线作业。,他是装配流水线作业,0.2222222222222222
enhanced_022,停止智能装配系统。,停止智能装配系统,0.0
enhanced_023,暂停工业机器人运作。,在天空一起前运作,0.7777777777777778
enhanced_024,恢复正常设备生产模式。,恢复正常的社会生产模式,0.3
enhanced_025,检查库存物料数据。,检查附属部落数据,0.5
enhanced_026,领取所需生产原材料。,领取史诗新产原材料,0.3333333333333333
enhanced_027,更换注塑模具配件。,更换至虚魔之火剑,0.75
enhanced_028,调整冲压机工作角度。,调整冲压激光控制,0.5555555555555556
enhanced_029,检测车间噪音分贝值。,检测车间噪音和电池,0.3333333333333333
enhanced_030,检查管道是否存在泄漏。,检查管道是否存在泄漏,0.0
enhanced_031,打开生产线区域照明灯。,大哥兄弟请吃肉,1.0
enhanced_032,关闭所有工作场所照明。,关闭所有工作场所报名,0.2
enhanced_033,检测环境空气质量参数。,检测环境空气质量参数,0.0
enhanced_034,调整排风系统风扇速度。,调整排风系统风向速度,0.1
enhanced_009,检查液压油箱油位高低。,检查实施未雨绸缪计划,0.8
enhanced_036,更换备用电池供电组。,更换备用电池不变节,0.3333333333333333
enhanced_037,测试工业电机运行效率。,测试工业电机运行效果,0.1
enhanced_043,报告生产设备故障状态。,侦察雷区进京要废品,1.0
enhanced_039,切换数控机床工作模式。,计划顺利进行公布仪式,0.9
enhanced_040,降低电机功率输出范围。,降低电子功率输出范围,0.1
enhanced_041,提高设备电源功率等级。,提高设备的易燃易爆性,0.6
enhanced_042,校准自动化传输带轨迹。,教主自动化传输带武器,0.4
enhanced_044,检查流水线进料速度。,求助玉帝师兄的速度,0.7777777777777778
enhanced_019,调整物料输送带速率。,我不易尝试不管是新,1.0
enhanced_045,启动智能设备清洁程序。,启动智能设备清洁程序,0.0
enhanced_046,记录生产线设备运行数据。,记录生产销售的运行需求,0.45454545454545453
enhanced_047,停止报警器声音提示。,停止报警器声音提示,0.0
enhanced_048,启动车间安全报警装置。,启动车间安全报警装置,0.0
enhanced_049,检查冷却系统水泵性能。,侦察龙珠系统主攻技能,0.7
enhanced_050,更换空气净化系统滤芯。,通过了空气净化器的呼吸,0.7
